food_id,name,name_nepali,category,calories,protein,carbohydrates,fat,fiber,sugar,sodium,serving_size_g,is_vegetarian,is_vegan,is_gluten_free,contains_nuts,contains_dairy,contains_gluten,contains_egg,is_nepali,data_source
70,Laddoo,लड्डु,nepali_sweet,182.4,2.5,23.2,9.5,1.9,17.3,2.2,50.0,True,False,True,True,True,False,False,True,USDA_Recipe_Calc
71,Barfi,बर्फी,nepali_sweet,118.6,1.3,16.0,5.8,0.1,15.6,13.4,50.0,True,False,True,True,True,False,False,True,USDA_Recipe_Calc
72,Peda,पेँडा,nepali_sweet,110.7,1.2,14.8,5.5,0.1,14.7,14.0,50.0,True,False,True,True,True,False,False,True,USDA_Recipe_Calc
73,Lal Mohan,लाल मोहन,nepali_sweet,157.7,1.5,25.3,6.0,0.1,21.5,13.3,60.0,True,False,False,False,True,True,False,True,USDA_Recipe_Calc
74,Jeri,जेरी,nepali_sweet,227.6,2.3,36.8,8.2,0.6,20.1,0.8,50.0,True,False,False,False,True,True,False,True,USDA_Recipe_Calc
75,Chiya,चिया,nepali_beverage,92.0,3.2,12.8,3.3,0.0,13.1,43.1,150.0,True,False,True,False,True,False,False,True,USDA_Recipe_Calc
76,Masala Tea,मसला चिया,nepali_beverage,93.6,3.2,13.2,3.3,0.0,13.1,43.3,150.0,True,False,True,False,True,False,False,True,USDA_Recipe_Calc
77,Lassi,लस्सी,nepali_beverage,187.2,6.3,28.5,5.9,0.0,28.5,83.0,250.0,True,False,True,False,True,False,False,True,USDA_Recipe_Calc
78,Chhyang,छ्याङ,nepali_beverage,70.0,0.5,12.0,0.1,0.2,2.0,5.0,200.0,True,True,True,False,False,False,False,True,FAO_Nepal_2012
79,Lemon Water,कागती पानी,nepali_beverage,10.0,0.1,2.5,0.0,0.1,1.0,2.0,250.0,True,True,True,False,False,False,False,True,FAO_Nepal_2012
80,Raksi,रक्सी,nepali_beverage,115.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,True,True,True,False,False,False,False,True,FAO_Nepal_2012
81,Tongba,तोङबा,nepali_beverage,65.0,0.8,11.0,0.2,0.5,1.5,5.0,300.0,True,True,True,False,False,False,False,True,FAO_Nepal_2012
82,Tomato Achar,गोलभेडाको अचार,nepali_pickle,41.7,0.3,1.4,4.1,0.3,0.6,582.8,30.0,True,True,True,False,False,False,False,True,USDA_Recipe_Calc
83,Mula ko Achar,मुलाको अचार,nepali_pickle,43.7,0.3,1.8,4.1,0.7,0.5,590.7,30.0,True,True,True,False,False,False,False,True,USDA_Recipe_Calc
84,Til ko Achar,तिलको अचार,nepali_pickle,88.7,2.3,3.2,8.0,1.6,0.2,195.5,20.0,True,True,True,False,False,False,False,True,USDA_Recipe_Calc
85,Lapsi ko Achar,लप्सीको अचार,nepali_pickle,30.0,0.2,7.0,0.1,0.6,5.0,80.0,20.0,True,True,True,False,False,False,False,True,FAO_Nepal_2012
86,Gundruk ko Achar,गुन्द्रुकको अचार,nepali_pickle,51.0,0.6,1.1,5.1,0.5,0.1,587.0,20.0,True,True,True,False,False,False,False,True,USDA_Recipe_Calc
87,Kakro ko Achar,काँक्रोको अचार,nepali_pickle,38.5,0.7,1.6,3.5,0.5,0.4,388.4,30.0,True,True,True,False,False,False,False,True,USDA_Recipe_Calc
88,Aam ko Achar,आँपको अचार,nepali_pickle,36.0,0.2,4.0,2.4,0.6,3.0,120.0,20.0,True,True,True,False,False,False,False,True,FAO_Nepal_2012
89,White Rice Cooked,सेतो भात,grain,130.0,2.7,28.2,0.3,0.4,0.1,1.0,100.0,True,True,True,False,False,False,False,True,USDA
90,Brown Rice Cooked,ब्राउन चामल भात,grain,111.0,2.6,23.0,0.9,1.8,0.4,5.0,100.0,True,True,True,False,False,False,False,True,USDA
91,Kodo ko Roti,कोदोको रोटी,nepali_bread,185.0,5.2,36.0,2.1,5.8,0.5,110.0,80.0,True,True,True,False,False,False,False,True,FAO_Nepal_2012
